,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,values,names,fixed,lower_bound,upper_bound,steps,lower_start,upper_start
0,0,0,0,0,0,0,0,0,0,1.0,overall_prob,1,0,1,0.1,0.0,1.0
1,1,1,1,1,1,1,1,1,1,0.0,tshift,1,0,3,0.1,0.0,10.0
2,2,2,2,2,2,2,2,2,2,7.0,desired_mode,1,0,7,0.1,0.0,10.0
3,3,3,3,3,3,3,3,3,3,19.73598747,viral_peak,0,0,40,0.1,15.0,25.0
4,4,4,4,4,4,4,4,4,4,5.0,obs_sd,0,0,25,0.1,1.0,10.0
5,5,5,5,5,5,5,5,5,5,0.2,sd_mod,1,0,1,0.1,0.4,0.6
6,6,6,6,6,6,6,6,6,6,14.0,sd_mod_wane,1,0,14,0.1,0.0,14.0
7,7,7,7,7,7,7,7,7,7,40.0,true_0,1,40,100,0.1,40.0,100.0
8,8,8,8,8,8,8,8,8,8,40.0,intercept,1,35,100,0.1,35.0,100.0
9,9,9,9,9,9,9,9,9,9,0.1,LOD,1,0,10,0.1,0.0,10.0
10,10,10,10,10,10,10,10,10,10,1.0,incu,1,0,10,0.1,0.0,10.0
11,11,11,11,11,11,11,11,11,11,13.29211948,t_switch,0,0,30,0.1,10.0,30.0
12,12,12,12,12,12,12,12,12,12,19.0,level_switch,1,0,40,0.1,33.0,40.0
13,13,13,13,13,13,13,13,13,13,10000.0,wane_rate2,1,0,10000,0.1,10.0,50.0
14,14,14,14,14,14,14,14,14,14,0.103299323,prob_detect,0,0,1,0.1,0.01,0.1
15,15,15,15,15,15,15,15,15,15,1.0,t_unit,1,0,1,0.1,0.0,1.0
16,16,16,16,16,16,16,16,16,16,0.0,t0,1,0,100,0.1,0.0,50.0
17,17,17,17,17,17,17,17,17,17,1.0,nu,1,0,100,0.1,2.0,5.0
18,18,18,18,18,18,18,18,18,18,0.001,rho,1,0,100,0.1,0.01,0.5
19,19,19,19,19,19,19,19,19,19,-7.0,prob,0,-100,100,0.1,-1.0,1.0
20,20,20,20,20,20,20,20,20,20,-7.0,prob,0,-100,100,0.1,-1.0,1.0
21,21,21,21,21,21,21,21,21,21,-7.0,prob,0,-100,100,0.1,-1.0,1.0
22,22,22,22,22,22,22,22,22,22,-7.0,prob,0,-100,100,0.1,-1.0,1.0
23,23,23,23,23,23,23,23,23,23,-7.0,prob,0,-100,100,0.1,-1.0,1.0
24,24,24,24,24,24,24,24,24,24,-7.0,prob,0,-100,100,0.1,-1.0,1.0
25,25,25,25,25,25,25,25,25,25,-7.0,prob,0,-100,100,0.1,-1.0,1.0
26,26,26,26,26,26,26,26,26,26,-7.0,prob,0,-100,100,0.1,-1.0,1.0
27,27,27,27,27,27,27,27,27,27,-7.0,prob,0,-100,100,0.1,-1.0,1.0
28,28,28,28,28,28,28,28,28,28,-7.0,prob,0,-100,100,0.1,-1.0,1.0
29,29,29,29,29,29,29,29,29,29,-7.0,prob,0,-100,100,0.1,-1.0,1.0
30,30,30,30,30,30,30,30,30,30,-7.0,prob,0,-100,100,0.1,-1.0,1.0
31,31,31,31,31,31,31,31,31,31,-7.0,prob,0,-100,100,0.1,-1.0,1.0
32,32,32,32,32,32,32,32,32,32,-7.0,prob,0,-100,100,0.1,-1.0,1.0
33,33,33,33,33,33,33,33,33,33,-7.0,prob,0,-100,100,0.1,-1.0,1.0
34,34,34,34,34,34,34,34,34,34,-7.0,prob,0,-100,100,0.1,-1.0,1.0
35,35,35,35,35,35,35,35,35,35,-7.0,prob,0,-100,100,0.1,-1.0,1.0
36,36,36,36,36,36,36,36,36,36,-7.0,prob,0,-100,100,0.1,-1.0,1.0
37,37,37,37,37,37,37,37,37,37,-7.0,prob,0,-100,100,0.1,-1.0,1.0
38,38,38,38,38,38,38,38,38,38,-7.0,prob,0,-100,100,0.1,-1.0,1.0
39,39,39,39,39,39,39,39,39,39,-7.0,prob,0,-100,100,0.1,-1.0,1.0
40,40,40,40,40,40,40,40,40,40,-7.0,prob,0,-100,100,0.1,-1.0,1.0
41,41,41,41,41,41,41,41,41,41,-7.0,prob,0,-100,100,0.1,-1.0,1.0
42,42,42,42,42,42,42,42,42,42,-7.0,prob,0,-100,100,0.1,-1.0,1.0
43,43,43,43,43,43,43,43,43,43,-7.0,prob,0,-100,100,0.1,-1.0,1.0
44,44,44,44,44,44,44,44,44,44,-7.0,prob,0,-100,100,0.1,-1.0,1.0
45,45,45,45,45,45,45,45,45,45,-7.0,prob,0,-100,100,0.1,-1.0,1.0
46,46,46,46,46,46,46,46,46,46,-7.0,prob,0,-100,100,0.1,-1.0,1.0
47,47,47,47,47,47,47,47,47,47,-7.0,prob,0,-100,100,0.1,-1.0,1.0
48,48,48,48,48,48,48,48,48,48,-7.0,prob,0,-100,100,0.1,-1.0,1.0
49,49,49,49,49,49,49,49,49,49,-7.0,prob,0,-100,100,0.1,-1.0,1.0
50,50,50,50,50,50,50,50,50,50,-7.0,prob,0,-100,100,0.1,-1.0,1.0
51,51,51,51,51,51,51,51,51,51,-7.0,prob,0,-100,100,0.1,-1.0,1.0
52,52,52,52,52,52,52,52,52,52,-7.0,prob,0,-100,100,0.1,-1.0,1.0
53,53,53,53,53,53,53,53,53,53,-7.0,prob,0,-100,100,0.1,-1.0,1.0
54,54,54,54,54,54,54,54,54,54,-7.0,prob,0,-100,100,0.1,-1.0,1.0
55,55,55,55,55,55,55,55,55,55,-7.0,prob,0,-100,100,0.1,-1.0,1.0
56,56,56,56,56,56,56,56,56,56,-7.0,prob,0,-100,100,0.1,-1.0,1.0
57,57,57,57,57,57,57,57,57,57,-7.0,prob,0,-100,100,0.1,-1.0,1.0
